A5A5A5A5A5A5,,,,,,,,,,,,,,,,,,,,,,
Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
0,  2000/1/1,    0:0:16,0,0,0,0,825,267,66,38,30,0,3,7,28,3,7,28,26.31,45.21,101.82,101.82
1,  2000/1/1,    0:0:17,0,0,0,0,792,256,70,42,34,3,2,7,31,2,7,31,26.32,42.82,101.82,101.82
2,  2000/1/1,    0:0:18,0,0,0,0,768,248,70,42,34,3,2,7,31,2,7,31,26.33,42.56,101.82,101.82
3,  2000/1/1,    0:0:19,0,0,0,0,675,221,74,46,34,3,2,7,31,2,7,31,26.34,43.24,101.82,101.82
4,  2000/1/1,    0:0:20,0,0,0,0,708,232,78,42,34,3,3,8,31,3,8,31,26.34,43.38,101.82,101.82
5,  2000/1/1,    0:0:21,0,0,0,0,696,221,74,42,34,3,3,7,31,3,7,31,26.35,43.35,101.82,101.82
6,  2000/1/1,    0:0:22,0,0,0,0,684,221,78,46,38,6,3,7,34,3,7,34,26.36,43.37,101.82,101.82
7,  2000/1/1,    0:0:23,0,0,0,0,684,221,78,46,38,6,3,7,34,3,7,34,26.37,43.36,101.82,101.82
8,  2000/1/1,    0:0:24,0,0,0,0,660,213,75,43,35,6,3,7,32,3,7,32,26.37,43.36,101.83,101.83
9,  2000/1/1,    0:0:25,0,0,0,0,591,190,64,40,32,6,3,6,29,3,6,29,26.38,43.27,101.83,101.83
10,  2000/1/1,    0:0:26,0,0,0,0,591,190,64,40,32,6,2,5,28,2,5,28,26.39,43.15,101.83,101.83
11,  2000/1/1,    0:0:27,0,0,0,0,558,179,57,33,29,6,2,4,25,2,4,25,26.4,42.95,101.83,101.83
12,  2000/1/1,    0:0:28,0,0,0,0,558,179,57,33,29,6,2,4,25,2,4,25,26.4,42.86,101.83,101.83
13,  2000/1/1,    0:0:29,0,0,0,0,546,175,50,26,22,3,2,4,20,2,4,20,26.41,42.77,101.83,101.83
14,  2000/1/1,    0:0:30,0,0,0,0,546,175,50,26,22,3,2,4,20,2,4,20,26.42,42.54,101.83,101.83
15,  2000/1/1,    0:0:31,0,0,0,0,489,156,43,23,19,3,1,3,17,1,3,17,26.42,42.47,101.83,101.83
16,  2000/1/1,    0:0:34,0,0,0,0,492,157,29,13,13,3,1,2,12,1,2,12,26.43,42.35,101.83,101.83
17,  2000/1/1,    0:0:35,0,0,0,0,435,138,18,10,10,3,1,1,9,1,1,9,26.44,42.07,101.83,101.83
18,  2000/1/1,    0:0:36,0,0,0,0,435,138,18,10,10,3,1,1,9,1,1,9,26.44,41.89,101.84,101.84
19,  2000/1/1,    0:0:37,0,0,0,0,402,134,14,7,7,3,1,1,7,1,1,7,26.45,41.87,101.84,101.84
20,  2000/1/1,    0:0:38,0,0,0,0,366,122,7,0,0,0,1,1,1,1,1,1,26.46,41.73,101.84,101.84
21,  2000/1/1,    0:0:39,0,0,0,0,366,122,7,0,0,0,1,1,1,1,1,1,26.47,41.71,101.84,101.84
22,  2000/1/1,    0:0:40,0,0,0,0,354,118,7,0,0,0,0,1,1,0,1,1,26.47,41.84,101.84,101.84
23,  2000/1/1,    0:0:41,0,0,0,0,354,118,7,0,0,0,0,1,1,0,1,1,26.48,41.72,101.84,101.84
24,  2000/1/1,    0:0:42,0,0,0,0,354,114,7,0,0,0,0,1,1,0,1,1,26.49,41.52,101.84,101.84
25,  2000/1/1,    0:0:43,0,0,0,0,342,110,7,0,0,0,0,0,0,0,0,0,26.49,41.57,101.84,101.84
26,  2000/1/1,    0:0:44,0,0,0,0,342,110,7,0,0,0,0,0,0,0,0,0,26.5,41.65,101.84,101.84
27,  2000/1/1,    0:0:45,0,0,0,0,330,106,7,0,0,0,0,0,0,0,0,0,26.51,41.61,101.84,101.84
28,  2000/1/1,    0:0:46,0,0,0,0,330,106,7,0,0,0,0,0,0,0,0,0,26.51,41.52,101.84,101.84
29,  2000/1/1,    0:0:47,0,0,0,0,342,110,10,0,0,0,0,1,1,0,1,1,26.52,41.54,101.84,101.84
30,  2000/1/1,    0:0:48,0,0,0,0,306,98,10,0,0,0,0,0,0,0,0,0,26.53,41.55,101.84,101.84
31,  2000/1/1,    0:0:49,0,0,0,0,306,98,10,0,0,0,0,0,0,0,0,0,26.53,41.55,101.84,101.84
32,  2000/1/1,    0:0:50,0,0,0,0,270,86,10,0,0,0,0,0,0,0,0,0,26.54,41.08,101.84,101.84
33,  2000/1/1,    0:0:51,0,0,0,0,270,86,10,0,0,0,0,0,0,0,0,0,26.54,41.07,101.84,101.84
34,  2000/1/1,    0:0:52,0,0,0,0,315,101,13,0,0,0,0,1,1,0,1,1,26.55,41.24,101.84,101.84
35,  2000/1/1,    0:0:53,0,0,0,0,315,101,13,0,0,0,0,1,1,0,1,1,26.55,41.32,101.84,101.84
