A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
         0,  2000/1/1,    0:0:15,      0.00,    0,              0,              0,       648,       216,        69,        42,        39,         9,         2,         4,        31,         2,         4,        31,     26.56,40.32,101.89,101.89
         1,  2000/1/1,    0:0:16,      0.00,    0,              0,              0,       678,       226,        66,        42,        39,         9,         2,         4,        33,         2,         4,        33,     26.56,39.58,101.89,101.89
         2,  2000/1/1,    0:0:17,      0.00,    0,              0,              0,       726,       242,        69,        42,        39,         9,         3,         5,        34,         3,         5,        34,     26.57,39.50,101.89,101.89
         3,  2000/1/1,    0:0:18,      0.00,    0,              0,              0,       747,       249,        66,        42,        39,         9,         3,         5,        34,         3,         5,        34,     26.59,39.47,101.89,101.89
         4,  2000/1/1,    0:0:19,      0.00,    0,              0,              0,       765,       255,        69,        42,        39,         9,         4,         6,        35,         4,         6,        35,     26.59,39.41,101.89,101.89
         5,  2000/1/1,    0:0:20,      0.00,    0,              0,              0,       747,       245,        66,        36,        36,         6,         4,         5,        31,         4,         5,        31,     26.60,39.39,101.89,101.89
         6,  2000/1/1,    0:0:21,      0.00,    0,              0,              0,       747,       245,        60,        33,        33,         3,         4,         5,        28,         4,         5,        28,     26.61,39.92,101.89,101.89
         7,  2000/1/1,    0:0:22,      0.00,    0,              0,              0,       747,       245,        60,        33,        33,         3,         3,         4,        27,         3,         4,        27,     26.62,40.19,101.89,101.89
         8,  2000/1/1,    0:0:23,      0.00,    0,              0,              0,       690,       226,        54,        30,        30,         3,         2,         3,        25,         2,         3,        25,     26.63,40.28,101.89,101.89
         9,  2000/1/1,    0:0:24,      0.00,    0,              0,              0,       690,       226,        54,        30,        30,         3,         2,         3,        25,         2,         3,        25,     26.64,40.93,101.90,101.90
