000000000000
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
         0,  2000/1/1,    0:0:15,      0.00,    0,              0,              0,       762,       247,        83,        46,         6,         3,         3,        16,        20,         3,        16,        20,     26.07,54.82,101.82,101.82
         1,  2000/1/1,    0:0:16,      0.00,    0,              0,              0,       783,       254,        89,        46,         9,         6,         3,        15,        23,         3,        15,        23,     26.08,60.56,101.82,101.82
         2,  2000/1/1,    0:0:17,      0.00,    0,              0,              0,       873,       284,        93,        46,         9,         6,         4,        16,        24,         4,        16,        24,     26.09,63.20,101.82,101.82
         3,  2000/1/1,    0:0:18,      0.00,    0,              0,              0,       963,       307,        93,        46,         9,         6,         5,        18,        25,         5,        18,        25,     26.10,64.12,101.82,101.82
         4,  2000/1/1,    0:0:19,      0.00,    0,              0,              0,       963,       307,       100,        49,         9,         6,         4,        17,        25,         4,        17,        25,     26.11,66.06,101.82,101.82
         5,  2000/1/1,    0:0:20,      0.00,    0,              0,              0,       924,       297,       104,        49,         9,         6,         4,        18,        25,         4,        18,        25,     26.12,67.79,101.82,101.82
         6,  2000/1/1,    0:0:21,      0.00,    0,              0,              0,       975,       311,       117,        49,         9,         6,         4,        19,        26,         4,        19,        26,     26.13,68.54,101.82,101.82
         7,  2000/1/1,    0:0:22,      0.00,    0,              0,              0,       975,       311,       117,        49,         9,         6,         4,        19,        26,         4,        19,        26,     26.15,69.31,101.82,101.82
         8,  2000/1/1,    0:0:23,      0.00,    0,              0,              0,      1035,       321,       120,        46,         9,         6,         4,        18,        25,         4,        18,        25,     26.16,68.99,101.82,101.82
         9,  2000/1/1,    0:0:24,      0.00,    0,              0,              0,      1014,       311,       110,        43,         9,         6,         4,        17,        24,         4,        17,        24,     26.17,69.49,101.83,101.83
        10,  2000/1/1,    0:0:25,      0.00,    0,              0,              0,       852,       251,        68,        21,         0,         0,         3,        11,        11,         3,        11,        11,     26.18,69.91,101.83,101.83
        11,  2000/1/1,    0:0:26,      0.00,    0,              0,              0,       813,       231,        58,        18,         0,         0,         3,        10,        10,         3,        10,        10,     26.19,69.56,101.83,101.83
        12,  2000/1/1,    0:0:27,      0.00,    0,              0,              0,       774,       221,        68,        21,         6,         6,         3,         9,        14,         3,         9,        14,     26.20,69.95,101.83,101.83
        13,  2000/1/1,    0:0:28,      0.00,    0,              0,              0,       876,       255,        71,        18,         6,         6,         4,         9,        15,         4,         9,        15,     26.21,70.87,101.83,101.83
        14,  2000/1/1,    0:0:29,      0.00,    0,              0,              0,       816,       239,        64,        12,         6,         6,         3,         7,        13,         3,         7,        13,     26.22,71.60,101.83,101.83
        15,  2000/1/1,    0:0:30,      0.00,    0,              0,              0,       876,       259,        57,         9,         6,         6,         4,         7,        12,         4,         7,        12,     26.22,71.61,101.83,101.83
        16,  2000/1/1,    0:0:33,      0.00,    0,              0,              0,       837,       268,        60,        12,         6,         6,         4,         8,        13,         4,         8,        13,     26.23,71.93,101.83,101.83
        17,  2000/1/1,    0:0:34,      0.00,    0,              0,              0,       885,       284,        66,        12,         6,         6,         4,         9,        14,         4,         9,        14,     26.25,73.45,101.83,101.83
        18,  2000/1/1,    0:0:35,      0.00,    0,              0,              0,       885,       284,        66,        12,         6,         6,         4,         9,        14,         4,         9,        14,     26.26,73.89,101.83,101.83
        19,  2000/1/1,    0:0:36,      0.00,    0,              0,              0,       855,       274,        69,        15,         9,         9,         4,         8,        16,         4,         8,        16,     26.27,74.42,101.83,101.83
        20,  2000/1/1,    0:0:37,      0.00,    0,              0,              0,       855,       274,        69,        15,         9,         9,         4,         8,        16,         4,         8,        16,     26.28,74.95,101.83,101.83
        21,  2000/1/1,    0:0:38,      0.00,    0,              0,              0,       825,       264,        52,         9,         3,         3,         4,         7,        10,         4,         7,        10,     26.29,75.34,101.83,101.83
        22,  2000/1/1,    0:0:39,      0.00,    0,              0,              0,       816,       261,        52,         9,         3,         3,         5,         8,        11,         5,         8,        11,     26.30,75.39,101.83,101.83
        23,  2000/1/1,    0:0:40,      0.00,    0,              0,              0,       816,       261,        52,         9,         3,         3,         5,         8,        11,         5,         8,        11,     26.31,75.69,101.83,101.83
        24,  2000/1/1,    0:0:41,      0.00,    0,              0,              0,       834,       267,        46,         9,         3,         3,         5,         8,        11,         5,         8,        11,     26.32,76.18,101.83,101.83
        25,  2000/1/1,    0:0:42,      0.00,    0,              0,              0,       834,       267,        46,         9,         3,         3,         5,         8,        11,         5,         8,        11,     26.33,76.27,101.84,101.83
        26,  2000/1/1,    0:0:43,      0.00,    0,              0,              0,       813,       257,        46,         9,         3,         3,         4,         7,        10,         4,         7,        10,     26.34,75.65,101.84,101.84
        27,  2000/1/1,    0:0:44,      0.00,    0,              0,              0,       813,       257,        46,         9,         3,         3,         4,         7,        10,         4,         7,        10,     26.35,74.91,101.84,101.84
        28,  2000/1/1,    0:0:45,      0.00,    0,              0,              0,       855,       267,        43,         6,         3,         3,         5,         7,         9,         5,         7,         9,     26.35,74.85,101.84,101.84
        29,  2000/1/1,    0:0:46,      0.00,    0,              0,              0,       825,       257,        46,         6,         3,         3,         4,         6,         9,         4,         6,         9,     26.36,75.56,101.84,101.84
