-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 07/04/2025 through 07/04/2025 in UTC
Location: Latitude  47.6417   Longitude -122.3302 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
T10M                  MERRA-2 Temperature at 10 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,WS10M,WD10M,T10M
2025,7,4,0,16.42,69.11,23.45,492.35,0.89,19.0,16.19
2025,7,4,1,16.07,73.53,21.52,337.05,0.7,25.5,16.07
2025,7,4,2,16.06,80.72,19.63,182.98,0.62,43.0,16.1
2025,7,4,3,14.68,85.64,18.35,51.15,0.78,62.4,14.95
2025,7,4,4,12.68,91.81,15.44,0.0,0.95,112.8,12.93
2025,7,4,5,10.98,97.02,16.4,0.0,1.23,149.7,11.23
2025,7,4,6,10.16,97.98,58.5,0.0,1.36,171.1,10.39
2025,7,4,7,9.84,97.21,90.61,0.0,1.12,188.7,9.86
2025,7,4,8,9.68,95.2,66.66,0.0,1.08,218.2,9.51
2025,7,4,9,9.19,95.07,41.73,0.0,0.86,243.1,9.07
2025,7,4,10,8.96,95.17,73.35,0.0,0.55,235.4,8.81
2025,7,4,11,8.6,95.83,71.07,0.0,0.32,205.8,8.47
2025,7,4,12,8.32,95.94,72.44,6.75,0.65,204.6,8.17
2025,7,4,13,8.31,94.99,69.08,90.62,0.75,196.3,8.04
2025,7,4,14,8.51,93.73,70.86,225.05,1.21,177.2,8.14
2025,7,4,15,9.01,91.93,71.51,376.23,1.43,188.5,8.5
2025,7,4,16,9.24,91.23,71.36,520.83,1.15,208.6,8.66
2025,7,4,17,9.51,90.14,47.58,680.53,0.98,223.3,8.86
2025,7,4,18,9.78,89.06,41.28,783.45,0.86,207.8,9.07
2025,7,4,19,9.92,89.45,63.86,776.5,1.22,199.2,9.28
2025,7,4,20,9.86,90.51,93.82,651.85,1.7,193.6,9.34
2025,7,4,21,9.87,91.01,94.93,604.55,2.06,188.9,9.43
2025,7,4,22,10.03,90.84,96.56,518.9,2.23,188.0,9.6
2025,7,4,23,10.1,91.32,95.43,425.33,2.16,188.2,9.72
