,Seattle-College Way N,Seattle-College Way N,Seattle-College Way N,Seattle-College Way N,
Date/Time,Overall AQI,Description,Dominant Pollutant,PM2.5 AQI,
"7/4/2025, 1:00:00 AM",14,Good,PM2.5,14,
"7/4/2025, 2:00:00 AM",15,Good,PM2.5,15,
"7/4/2025, 3:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 4:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 5:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 6:00:00 AM",17,Good,PM2.5,17,
"7/4/2025, 7:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 8:00:00 AM",13,Good,PM2.5,13,
"7/4/2025, 9:00:00 AM",12,Good,PM2.5,12,
"7/4/2025, 10:00:00 AM",13,Good,PM2.5,13,
"7/4/2025, 11:00:00 AM",12,Good,PM2.5,12,
"7/4/2025, 12:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 1:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 2:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 3:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 4:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 5:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 6:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 7:00:00 PM",14,Good,PM2.5,14,
"7/4/2025, 8:00:00 PM",19,Good,PM2.5,19,
"7/4/2025, 9:00:00 PM",22,Good,PM2.5,22,
"7/4/2025, 10:00:00 PM",26,Good,PM2.5,26,
"7/4/2025, 11:00:00 PM",34,Good,PM2.5,34,
"7/5/2025, 12:00:00 AM",53,Moderate,PM2.5,53,
"7/5/2025, 1:00:00 AM",,,,,
"7/5/2025, 2:00:00 AM",,,,,
"7/5/2025, 3:00:00 AM",,,,,
"7/5/2025, 4:00:00 AM",,,,,
"7/5/2025, 5:00:00 AM",,,,,
"7/5/2025, 6:00:00 AM",,,,,
"7/5/2025, 7:00:00 AM",,,,,
"7/5/2025, 8:00:00 AM",,,,,
"7/5/2025, 9:00:00 AM",,,,,
"7/5/2025, 10:00:00 AM",,,,,
"7/5/2025, 11:00:00 AM",,,,,
"7/5/2025, 12:00:00 PM",,,,,
"7/5/2025, 1:00:00 PM",,,,,
"7/5/2025, 2:00:00 PM",,,,,
"7/5/2025, 3:00:00 PM",,,,,
"7/5/2025, 4:00:00 PM",,,,,
"7/5/2025, 5:00:00 PM",,,,,
"7/5/2025, 6:00:00 PM",,,,,
"7/5/2025, 7:00:00 PM",,,,,
"7/5/2025, 8:00:00 PM",,,,,
"7/5/2025, 9:00:00 PM",,,,,
"7/5/2025, 10:00:00 PM",,,,,
"7/5/2025, 11:00:00 PM",,,,,
