,Seattle-Linden Ave N,Seattle-Linden Ave N,Seattle-Linden Ave N,Seattle-Linden Ave N,
Date/Time,Overall AQI,Description,Dominant Pollutant,PM2.5 AQI,
"7/4/2025, 1:00:00 AM",15,Good,PM2.5,15,
"7/4/2025, 2:00:00 AM",16,Good,PM2.5,16,
"7/4/2025, 3:00:00 AM",17,Good,PM2.5,17,
"7/4/2025, 4:00:00 AM",18,Good,PM2.5,18,
"7/4/2025, 5:00:00 AM",17,Good,PM2.5,17,
"7/4/2025, 6:00:00 AM",24,Good,PM2.5,24,
"7/4/2025, 7:00:00 AM",21,Good,PM2.5,21,
"7/4/2025, 8:00:00 AM",15,Good,PM2.5,15,
"7/4/2025, 9:00:00 AM",12,Good,PM2.5,12,
"7/4/2025, 10:00:00 AM",12,Good,PM2.5,12,
"7/4/2025, 11:00:00 AM",11,Good,PM2.5,11,
"7/4/2025, 12:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 1:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 2:00:00 PM",11,Good,PM2.5,11,
"7/4/2025, 3:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 4:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 5:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 6:00:00 PM",12,Good,PM2.5,12,
"7/4/2025, 7:00:00 PM",13,Good,PM2.5,13,
"7/4/2025, 8:00:00 PM",15,Good,PM2.5,15,
"7/4/2025, 9:00:00 PM",20,Good,PM2.5,20,
"7/4/2025, 10:00:00 PM",27,Good,PM2.5,27,
"7/4/2025, 11:00:00 PM",41,Good,PM2.5,41,
"7/5/2025, 12:00:00 AM",52,Moderate,PM2.5,52,
"7/5/2025, 1:00:00 AM",,,,,
"7/5/2025, 2:00:00 AM",,,,,
"7/5/2025, 3:00:00 AM",,,,,
"7/5/2025, 4:00:00 AM",,,,,
"7/5/2025, 5:00:00 AM",,,,,
"7/5/2025, 6:00:00 AM",,,,,
"7/5/2025, 7:00:00 AM",,,,,
"7/5/2025, 8:00:00 AM",,,,,
"7/5/2025, 9:00:00 AM",,,,,
"7/5/2025, 10:00:00 AM",,,,,
"7/5/2025, 11:00:00 AM",,,,,
"7/5/2025, 12:00:00 PM",,,,,
"7/5/2025, 1:00:00 PM",,,,,
"7/5/2025, 2:00:00 PM",,,,,
"7/5/2025, 3:00:00 PM",,,,,
"7/5/2025, 4:00:00 PM",,,,,
"7/5/2025, 5:00:00 PM",,,,,
"7/5/2025, 6:00:00 PM",,,,,
"7/5/2025, 7:00:00 PM",,,,,
"7/5/2025, 8:00:00 PM",,,,,
"7/5/2025, 9:00:00 PM",,,,,
"7/5/2025, 10:00:00 PM",,,,,
"7/5/2025, 11:00:00 PM",,,,,
