dt,S1,S2,S3,S5,S6,network_min,network_max,network_mean,network_range
2025-07-04 20:00:00,7.0,4.0,12.0,12.0,16.0,4.0,16.0,10.2,12.0
2025-07-04 20:00:01,7.0,4.0,13.0,12.0,15.0,4.0,15.0,10.2,11.0
2025-07-04 20:00:02,7.0,5.0,13.0,12.5,16.0,5.0,16.0,10.7,11.0
2025-07-04 20:00:03,7.0,5.0,13.0,12.0,18.0,5.0,18.0,11.0,13.0
2025-07-04 20:00:04,8.0,6.0,15.0,12.0,17.0,6.0,17.0,11.6,11.0
2025-07-04 20:00:05,7.0,5.0,15.0,12.5,18.0,5.0,18.0,11.5,13.0
2025-07-04 20:00:06,7.0,5.0,15.0,12.5,19.0,5.0,19.0,11.7,14.0
2025-07-04 20:00:07,7.0,4.0,15.0,12.0,19.0,4.0,19.0,11.4,15.0
2025-07-04 20:00:08,7.0,3.0,14.0,11.5,18.0,3.0,18.0,10.7,15.0
2025-07-04 20:00:09,6.0,3.0,14.0,9.5,17.0,3.0,17.0,9.9,14.0
2025-07-04 20:00:10,5.0,5.0,12.0,9.0,11.0,5.0,12.0,8.4,7.0
2025-07-04 20:00:11,4.0,4.0,12.0,8.5,10.0,4.0,12.0,7.7,8.0
2025-07-04 20:00:12,4.0,4.0,12.0,8.0,9.0,4.0,12.0,7.4,8.0
2025-07-04 20:00:13,4.0,4.0,11.0,7.0,9.0,4.0,11.0,7.0,7.0
2025-07-04 20:00:14,4.0,4.0,11.0,6.5,7.0,4.0,11.0,6.5,7.0
2025-07-04 20:00:15,3.0,4.0,10.0,6.0,7.0,3.0,10.0,6.0,7.0
2025-07-04 20:00:16,2.0,3.0,4.0,4.0,8.0,2.0,8.0,4.2,6.0
2025-07-04 20:00:17,1.0,2.0,3.0,3.0,9.0,1.0,9.0,3.6,8.0
2025-07-04 20:00:18,1.0,2.0,3.0,3.0,9.0,1.0,9.0,3.6,8.0
2025-07-04 20:00:19,1.0,2.0,3.0,2.5,8.0,1.0,8.0,3.3,7.0
2025-07-04 20:00:20,1.0,2.0,3.0,2.0,8.0,1.0,8.0,3.2,7.0
2025-07-04 20:00:21,1.0,2.0,2.0,1.5,7.0,1.0,7.0,2.7,6.0
2025-07-04 20:00:22,1.0,1.0,2.0,2.0,8.0,1.0,8.0,2.8,7.0
2025-07-04 20:00:23,1.0,1.0,2.0,2.0,8.0,1.0,8.0,2.8,7.0
2025-07-04 20:00:24,1.0,1.0,2.0,2.0,8.0,1.0,8.0,2.8,7.0
2025-07-04 20:00:25,0.0,1.0,2.0,2.5,8.0,0.0,8.0,2.7,8.0
2025-07-04 20:00:26,0.0,1.0,2.0,2.5,7.0,0.0,7.0,2.5,7.0
2025-07-04 20:00:27,0.0,1.0,2.0,2.5,7.0,0.0,7.0,2.5,7.0
2025-07-04 20:00:28,0.0,1.0,2.0,2.5,7.0,0.0,7.0,2.5,7.0
2025-07-04 20:00:29,1.0,2.0,2.0,2.0,6.0,1.0,6.0,2.6,5.0
