sigma0,K,tau,wrmse,scale
800.0,10.0,3600.0,5.49599985222532,5515988.728422569
764.2857142857143,10.0,3600.0,5.529057070522399,5239094.085447536
800.0,10.0,3434.2857142857147,5.534692846351152,5565097.156408956
764.2857142857143,10.0,3434.2857142857147,5.567131022802845,5285722.646054437
728.5714285714286,10.0,3600.0,5.568351689058883,4967968.838574632
800.0,10.0,3268.571428571429,5.577119936164507,5617388.172825634
728.5714285714286,10.0,3434.2857142857147,5.605707884235747,5012153.6022339165
764.2857142857143,10.0,3268.571428571429,5.608885700750401,5335373.763195355
692.8571428571429,10.0,3600.0,5.615006549680277,4701936.3766462775
800.0,10.0,3102.857142857143,5.623788267876089,5673073.7695989255
728.5714285714286,10.0,3268.571428571429,5.646682449170813,5059201.717522251
692.8571428571429,10.0,3434.2857142857147,5.651532612761754,4743703.227209198
764.2857142857143,10.0,3102.857142857143,5.654822002408422,5388248.9064702485
657.1428571428571,10.0,3600.0,5.670259925707584,4440251.255741659
800.0,10.0,2937.1428571428573,5.675289038469836,5732351.477230381
692.8571428571429,10.0,3268.571428571429,5.691604237875955,4788174.172720891
728.5714285714286,10.0,3102.857142857143,5.691768902574323,5109303.800553985
764.2857142857143,10.0,2937.1428571428573,5.705524056735896,5444535.846507383
657.1428571428571,10.0,3434.2857142857147,5.705829177640282,4479615.117862939
800.0,57.142857142857146,3600.0,5.719777326320016,6694964.336774656
800.0,10.0,2771.4285714285716,5.732312088246845,5795385.073932808
764.2857142857143,57.142857142857146,3600.0,5.735181631363312,6392868.637574225
621.4285714285714,10.0,3600.0,5.7354245895877005,4182125.392442875
692.8571428571429,10.0,3102.857142857143,5.735706216407414,4835528.537488263
728.5714285714286,10.0,2937.1428571428573,5.741543005363615,5162637.361107916
657.1428571428571,10.0,3268.571428571429,5.744859137523988,4521522.831494515
728.5714285714286,57.142857142857146,3600.0,5.752612613138793,6098837.909420642
800.0,57.142857142857146,3434.2857142857147,5.759254874579684,6734694.834472165
764.2857142857143,10.0,2771.4285714285716,5.761673737764468,5504390.332120456
621.4285714285714,10.0,3434.2857142857147,5.769895943112238,4219090.236277166
