sigma0,K,tau,wrmse,scale
50.0,10.0,120.0,7.949903120870811,296089.7506217573
50.0,10.0,285.7142857142857,7.913978520550144,10066560.448119808
50.0,10.0,451.42857142857144,7.738993765624843,19099103.39618357
50.0,10.0,617.1428571428571,7.625407089145351,15840059.74633439
50.0,10.0,782.8571428571429,7.563248865392919,11882731.125517353
50.0,10.0,948.5714285714287,7.525184634668002,9195395.616403742
50.0,10.0,1114.2857142857142,7.501722410720468,7422258.583331857
50.0,10.0,1280.0,7.487387770921652,6212345.297111874
50.0,10.0,1445.7142857142858,7.478737671316758,5353364.549706352
50.0,10.0,1611.4285714285716,7.4736373530265885,4721156.516259142
50.0,10.0,1777.1428571428573,7.470771326584833,4241186.173983729
50.0,10.0,1942.857142857143,7.469324261750811,3867043.62929308
50.0,10.0,2108.5714285714284,7.468784714733637,3568765.673004415
50.0,10.0,2274.285714285714,7.468827266322477,3326354.10218444
50.0,10.0,2440.0,7.469241906424288,3126058.8275853866
50.0,10.0,2605.714285714286,7.4698913540996745,2958172.712778128
50.0,10.0,2771.4285714285716,7.470684900362133,2815680.265599881
50.0,10.0,2937.1428571428573,7.471562118792616,2693404.4744672393
50.0,10.0,3102.857142857143,7.472482553219115,2587453.2991849896
50.0,10.0,3268.571428571429,7.47341908393683,2494851.5932726027
50.0,10.0,3434.2857142857147,7.474353595239116,2413290.7936326284
50.0,10.0,3600.0,7.47527410598544,2340955.201203413
50.0,57.142857142857146,120.0,7.9455717115167035,3085740.3548774347
50.0,57.142857142857146,285.7142857142857,7.885376918464222,4549845.65532957
50.0,57.142857142857146,451.42857142857144,7.78741243066856,4083623.867883111
50.0,57.142857142857146,617.1428571428571,7.67367192205888,3783704.1915972363
50.0,57.142857142857146,782.8571428571429,7.55724457532878,3576448.8957634903
50.0,57.142857142857146,948.5714285714287,7.446595442180581,3413324.899626836
50.0,57.142857142857146,1114.2857142857142,7.3459375964047835,3275878.997094957
50.0,57.142857142857146,1280.0,7.2565712362121655,3156684.2014125125
50.0,57.142857142857146,1445.7142857142858,7.1782075956501625,3052072.9573294027
50.0,57.142857142857146,1611.4285714285716,7.109845838718217,2959721.0679474934
50.0,57.142857142857146,1777.1428571428573,7.050258180069069,2877867.341732975
50.0,57.142857142857146,1942.857142857143,6.998227389881978,2805059.931381844
50.0,57.142857142857146,2108.5714285714284,6.952647910291531,2740066.9261467257
50.0,57.142857142857146,2274.285714285714,6.912557955639605,2681836.1468192087
