sigma0,K,tau,wrmse,scale
50.0,10.0,120.0,16.21342455169865,37659.34273815935
50.0,10.0,285.7142857142857,16.213336813252912,617479.0941624559
50.0,10.0,451.42857142857144,16.213204885484984,490564.6217780308
50.0,10.0,617.1428571428571,16.21308599054904,350622.33734919043
50.0,10.0,782.8571428571429,16.212984304754926,269550.3650495286
50.0,10.0,948.5714285714287,16.21290482286786,218643.56443672205
50.0,10.0,1114.2857142857142,16.212845178470026,184294.0796959061
50.0,10.0,1280.0,16.212800912030062,159893.01684294315
50.0,10.0,1445.7142857142858,16.212767932979375,141867.22991523994
50.0,10.0,1611.4285714285716,16.21274310084559,128126.26579669886
50.0,10.0,1777.1428571428573,16.212724152593957,117375.78557775976
50.0,10.0,1942.857142857143,16.2127094909533,108778.64041100646
50.0,10.0,2108.5714285714284,16.212697990730028,101773.74530950708
50.0,10.0,2274.285714285714,16.212688853808928,95973.51588723621
50.0,10.0,2440.0,16.212681507825568,91103.12411392463
50.0,10.0,2605.714285714286,16.212675537064268,86963.17014041472
50.0,10.0,2771.4285714285716,16.212670635575765,83406.00947744612
50.0,10.0,2937.1428571428573,16.212666575239673,80320.32038885984
50.0,10.0,3102.857142857143,16.212663183817757,77620.79356980426
50.0,10.0,3268.571428571429,16.212660329706818,75241.0907607708
50.0,10.0,3434.2857142857147,16.21265791121903,73128.93931969347
50.0,10.0,3600.0,16.212655848953126,71242.65255998702
50.0,57.142857142857146,120.0,16.213407565056805,244241.73662616164
50.0,57.142857142857146,285.7142857142857,16.2132371615579,217480.84806260187
50.0,57.142857142857146,451.42857142857144,16.212927934827555,197080.49915868806
50.0,57.142857142857146,617.1428571428571,16.21255154520006,187941.92610896126
50.0,57.142857142857146,782.8571428571429,16.212159201084194,182214.0422225893
50.0,57.142857142857146,948.5714285714287,16.21178241746803,177678.5388634371
50.0,57.142857142857146,1114.2857142857142,16.211436461824285,173694.38115256414
50.0,57.142857142857146,1280.0,16.21112634695182,170073.8398913643
50.0,57.142857142857146,1445.7142857142858,16.21085167012179,166757.74313062037
50.0,57.142857142857146,1611.4285714285716,16.210609588068284,163720.04135963923
50.0,57.142857142857146,1777.1428571428573,16.2103964175587,160940.95875816132
50.0,57.142857142857146,1942.857142857143,16.210208418788557,158400.6860596711
50.0,57.142857142857146,2108.5714285714284,16.210042138714734,156078.8368122554
50.0,57.142857142857146,2274.285714285714,16.209894531893013,153955.17089478395
50.0,57.142857142857146,2440.0,16.20976297545297,152010.32346787915
50.0,57.142857142857146,2605.714285714286,16.209645238049887,150226.27460013056
50.0,57.142857142857146,2771.4285714285716,16.209539432370967,148586.5751982181
50.0,57.142857142857146,2937.1428571428573,16.209443965140558,147076.40181659337
50.0,57.142857142857146,3102.857142857143,16.20935749068419,145682.5068380246
50.0,57.142857142857146,3268.571428571429,16.209278870240585,144393.1119091944
50.0,57.142857142857146,3434.2857142857147,16.20920713738838,143197.7756880937
50.0,57.142857142857146,3600.0,16.209141469160524,142087.2547136612
50.0,104.28571428571429,120.0,16.21339859026624,211728.56211941343
50.0,104.28571428571429,285.7142857142857,16.213174520973258,200794.13311335692
50.0,104.28571428571429,451.42857142857144,16.212751948073894,204318.0248881703
50.0,104.28571428571429,617.1428571428571,16.212230934324,208531.37682628905
50.0,104.28571428571429,782.8571428571429,16.21168121186299,211729.1205048824
50.0,104.28571428571429,948.5714285714287,16.21114489956462,213745.4262134517
50.0,104.28571428571429,1114.2857142857142,16.210643532115842,214798.26332105207
50.0,104.28571428571429,1280.0,16.210185665842655,215151.66467939623
50.0,104.28571428571429,1445.7142857142858,16.209772659270993,215025.06382678865
50.0,104.28571428571429,1611.4285714285716,16.20940229603844,214581.1583936153
50.0,104.28571428571429,1777.1428571428573,16.20907083430742,213934.95113596832
50.0,104.28571428571429,1942.857142857143,16.208774089142093,213165.87879405354
50.0,104.28571428571429,2108.5714285714284,16.208507966655908,212328.10864305886
50.0,104.28571428571429,2274.285714285714,16.208268701808507,211458.23203717833
50.0,104.28571428571429,2440.0,16.208052942080407,210580.72687003863
50.0,104.28571428571429,2605.714285714286,16.207857754620047,209711.75117300995
50.0,104.28571428571429,2771.4285714285716,16.207680598184325,208861.7545049242
50.0,104.28571428571429,2937.1428571428573,16.207519281344947,208037.27152522025
50.0,104.28571428571429,3102.857142857143,16.207371917739806,207242.15522610917
50.0,104.28571428571429,3268.571428571429,16.207236883465786,206478.42714271648
50.0,104.28571428571429,3434.2857142857147,16.207112778740797,205746.86535594307
50.0,104.28571428571429,3600.0,16.206998394453684,205047.41235925036
50.0,151.42857142857144,120.0,16.213390414737507,198168.78603980746
50.0,151.42857142857144,285.7142857142857,16.2131279894679,202507.82238958665
50.0,151.42857142857144,451.42857142857144,16.212640634844067,217216.08691828168
50.0,151.42857142857144,617.1428571428571,16.212042570751805,228769.90085941745
50.0,151.42857142857144,782.8571428571429,16.2114114951775,237343.98135501237
50.0,151.42857142857144,948.5714285714287,16.21079351394815,243540.2898835802
50.0,151.42857142857144,1114.2857142857142,16.210212432344033,247946.84188093434
50.0,151.42857142857144,1280.0,16.209678158014796,251042.50368726914
50.0,151.42857142857144,1445.7142857142858,16.209192803385466,253188.53171876268
50.0,151.42857142857144,1611.4285714285716,16.208754498048606,254648.50713078555
50.0,151.42857142857144,1777.1428571428573,16.208359573986236,255612.2624177314
50.0,151.42857142857144,1942.857142857143,16.20800374730716,256216.13418625842
50.0,151.42857142857144,2108.5714285714284,16.207682722705112,256558.2736826916
50.0,151.42857142857144,2274.285714285714,16.20739247905861,256709.69403828532
50.0,151.42857142857144,2440.0,16.20712938439311,256722.0882352295
50.0,151.42857142857144,2605.714285714286,16.206890222730692,256633.3270056625
50.0,151.42857142857144,2771.4285714285716,16.206672177879216,256471.3272397425
50.0,151.42857142857144,2937.1428571428573,16.20647279830464,256256.78541109225
50.0,151.42857142857144,3102.857142857143,16.206289955709956,256005.12109682037
50.0,151.42857142857144,3268.571428571429,16.206121803659236,255727.8689208786
50.0,151.42857142857144,3434.2857142857147,16.205966739195514,255433.68316359166
50.0,151.42857142857144,3600.0,16.205823368605635,255129.06848960114
50.0,198.57142857142858,120.0,16.21338279533269,193123.13182077743
50.0,198.57142857142858,285.7142857142857,16.21309371407125,207291.1575251082
50.0,198.57142857142858,451.42857142857144,16.21256967882312,229121.17304593758
50.0,198.57142857142858,617.1428571428571,16.21193144810369,245822.74221237897
50.0,198.57142857142858,782.8571428571429,16.211259417464383,258367.41620445292
50.0,198.57142857142858,948.5714285714287,16.210600681138267,267751.8911749969
50.0,198.57142857142858,1114.2857142857142,16.209979608544863,274777.57924995944
50.0,198.57142857142858,1280.0,16.209406539102158,280056.96617008705
50.0,198.57142857142858,1445.7142857142858,16.208883909541925,284044.04092771857
50.0,198.57142857142858,1611.4285714285716,16.208410064102683,287070.65023063525
50.0,198.57142857142858,1777.1428571428573,16.207981450815108,289378.56259377935
