sigma0,K,tau,wrmse,scale
800.0,10.0,3600.0,5.794254515578566,5762128.5256920345
800.0,10.0,3434.2857142857147,5.8270434745479625,5820655.509515926
764.2857142857143,10.0,3600.0,5.842092705099755,5445099.436896759
800.0,10.0,3268.571428571429,5.863408100686852,5883308.941824187
764.2857142857143,10.0,3434.2857142857147,5.87430464582568,5500193.570752569
728.5714285714286,10.0,3600.0,5.897561463471491,5133840.955885614
800.0,10.0,3102.857142857143,5.903888056783869,5950436.948965245
764.2857142857143,10.0,3268.571428571429,5.910026818379457,5559165.2600438865
728.5714285714286,10.0,3434.2857142857147,5.9291115806965795,5185550.023614947
800.0,10.0,2937.1428571428573,5.949123109754678,6022397.595949638
764.2857142857143,10.0,3102.857142857143,5.94978908639689,5622340.337957242
800.0,57.142857142857146,3600.0,5.9586396227581915,7148550.574993296
692.8571428571429,10.0,3600.0,5.961628263559076,4827958.9238034515
728.5714285714286,10.0,3268.571428571429,5.964096915747228,5240889.960373393
764.2857142857143,57.142857142857146,3600.0,5.983190954227218,6804116.614727679
692.8571428571429,10.0,3434.2857142857147,5.992423007565178,4876326.385434487
764.2857142857143,10.0,2937.1428571428573,5.994219681460774,5690053.474425782
800.0,57.142857142857146,3434.2857142857147,5.994908006890111,7199386.543963023
800.0,10.0,2771.4285714285716,5.999873632694715,6099544.251259952
728.5714285714286,10.0,3102.857142857143,6.003036074301305,5300164.202799696
728.5714285714286,57.142857142857146,3600.0,6.011010007270939,6467427.407188275
764.2857142857143,57.142857142857146,3434.2857142857147,6.019239596345014,6852004.274942558
692.8571428571429,10.0,3268.571428571429,6.02656731372631,4928079.92262302
800.0,57.142857142857146,3268.571428571429,6.0346855290649755,7253192.3248572145
657.1428571428571,10.0,3600.0,6.035239796658755,4527128.123878534
692.8571428571429,57.142857142857146,3600.0,6.042629747987557,6138142.198509954
764.2857142857143,10.0,2771.4285714285716,6.044065384772145,5762634.23663029
728.5714285714286,10.0,2937.1428571428573,6.046544024703136,5363683.799431858
728.5714285714286,57.142857142857146,3434.2857142857147,6.04680323824839,6512431.563211022
800.0,10.0,2605.714285714286,6.057044869598968,6182200.57158048
764.2857142857143,57.142857142857146,3268.571428571429,6.058767631947714,6902673.030493361
692.8571428571429,10.0,3102.857142857143,6.064566892348884,4983500.444160249
657.1428571428571,10.0,3434.2857142857147,6.065177221146215,4572194.910867992
692.8571428571429,57.142857142857146,3434.2857142857147,6.07812641159614,6180322.859508861
800.0,57.142857142857146,3102.857142857143,6.078451285701837,7310112.2074679835
657.1428571428571,57.142857142857146,3600.0,6.078643441348291,5815904.338010478
