idx,label,SIGMA_H,SIGMA_W,T_LH,T_LV,DT,est_lat,est_lon,dist_m
13,Derived x4.0,0.9112,0.7179,151.0590,135.1050,12,47.6396,-122.3344,100.8108
12,Derived x3.0,0.6834,0.5384,113.2943,101.3287,10,47.6393,-122.3348,115.3537
16,"Isotropic  sig=0.5, T=80",0.5000,0.5000,80.0000,80.0000,6,47.6390,-122.3352,149.4729
1,ORIGINAL (hand-tuned),1.0000,0.3000,300.0000,80.0000,6,47.6388,-122.3352,162.1001
9,Hanna-D  z=300 m,0.3267,0.2574,168.9583,168.9583,12,47.6387,-122.3358,183.1713
8,Hanna-D  z=200 m,0.3267,0.2574,147.5647,147.5647,12,47.6387,-122.3358,189.1562
7,Hanna-D  z=150 m,0.3267,0.2574,130.9805,130.9805,12,47.6386,-122.3359,195.6801
11,Derived x2.0,0.4556,0.3590,75.5295,67.5525,6,47.6384,-122.3359,214.0598
10,Derived x1.5,0.3417,0.2692,56.6471,50.6644,5,47.6376,-122.3367,323.7622
15,"sig original, T_L derived",1.0000,0.3000,38.0000,34.0000,3,47.6371,-122.3367,369.6963
14,"sig derived, T_L original",0.2300,0.1800,300.0000,80.0000,6,47.6370,-122.3371,389.4282
3,Hanna-E  z= 50 m,0.2278,0.1795,37.7648,33.7762,3,47.6367,-122.3377,440.2594
4,Hanna-E  z= 80 m,0.1610,0.1269,67.5823,69.5975,6,47.6367,-122.3378,446.8358
5,Hanna-E  z=100 m,0.1108,0.0873,109.7600,120.8587,10,47.6367,-122.3380,451.7804
2,Hanna-E  z= 30 m,0.2688,0.2118,24.7905,19.0220,1,47.6366,-122.3378,451.9366
6,Hanna-E  z=120 m,0.0510,0.0402,261.5240,304.1583,12,47.6365,-122.3383,480.8188
